ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10187,1,1,1989,24,24,24,24,24,24,24,24,24,24
10188,0,1,1989,0,0,0,0,0,0,0,0,0,0
10188,1,1,1989,32,11,10,17,20,12,29,17,19,44
10188,2,1,1989,0,0,0,0,0,0,0,0,0,0
10189,0,1,1989,0,0,0,0,0,0,0,0,0,0
10189,0,2,1989,0,0,0,0,0,0,0,0,0,0
10189,1,1,1989,0,0,0,0,0,0,0,0,0,0
10190,1,1,1989,11,11,11,11,11,11,11,11,11,11
10191,1,1,1989,28,28,28,28,28,28,28,28,28,28
10191,2,1,1989,0,0,0,0,0,0,0,0,0,0
10192,1,1,1989,18,18,18,18,18,18,18,18,18,18
10193,1,1,1989,17,17,17,17,17,17,17,17,17,17
10193,2,1,1989,0,0,0,0,0,0,0,0,0,0
10193,3,1,1989,0,0,0,0,0,0,0,0,0,0
10194,1,1,1989,0,0,0,0,0,0,0,0,0,0
10194,2,1,1989,0,0,0,0,0,0,0,0,0,0
10195,1,1,1989,0,0,0,0,0,0,0,0,0,0
10195,2,1,1989,0,0,0,0,0,0,0,0,0,0
10196,1,1,1989,21,21,21,21,21,21,21,21,21,21
10197,1,1,1989,14,14,14,14,14,14,14,14,14,14
10197,2,1,1989,0,10,0,20,0,0,0,0,0,0
10198,1,1,1989,12,13,10,16,17,14,15,3,18,9
10199,1,1,1989,24,24,24,24,24,24,24,24,24,24
10200,1,1,1989,0,0,0,0,0,0,0,0,0,0
10200,2,1,1989,0,0,0,0,0,0,0,0,0,0
10201,1,1,1989,0,0,0,0,0,0,0,0,0,0
10201,2,1,1989,0,0,0,0,0,0,0,0,0,0
10201,3,1,1989,0,0,0,0,0,0,0,0,0,0
10202,1,1,1989,0,0,0,0,0,0,0,0,0,0
10203,1,1,1989,24,24,24,24,24,24,24,24,24,24
10204,1,1,1989,0,0,0,0,0,0,0,0,0,0
10204,2,1,1989,0,0,0,0,0,0,0,0,0,0
10205,1,1,1989,21,21,21,21,21,21,21,21,21,21
10206,1,1,1989,0,0,0,0,0,0,0,0,0,0
10207,1,1,1989,20,16,26,20,19,16,18,12,0,10
10208,1,1,1989,0,26,11,23,0,0,0,0,15,0
10208,2,1,1989,0,9,27,0,0,0,0,0,0,0
10209,1,1,1989,0,0,0,0,0,0,0,0,0,0
10209,2,1,1989,0,0,0,0,0,0,0,0,0,0
10210,1,1,1989,2,2,2,2,2,2,2,2,2,2
10211,1,1,1989,8,0,0,0,0,0,3,0,0,0
10211,2,1,1989,0,0,0,0,0,0,0,0,11,0
10212,1,1,1989,9,9,9,9,9,9,9,9,9,9
10212,2,1,1989,11,11,11,11,11,11,11,11,11,11
10213,1,1,1989,13,9,10,30,24,12,30,22,21,5
10214,1,1,1989,23,0,16,21,13,10,14,8,28,18
10215,1,1,1989,0,0,0,0,0,0,0,0,0,0
10215,2,1,1989,2,2,2,2,2,2,2,2,2,2
10216,1,1,1989,18,18,18,18,18,18,18,18,18,18
10217,1,1,1989,0,0,0,0,0,0,0,0,0,0
10217,2,1,1989,0,0,0,5,0,19,0,0,0,0
10218,1,1,1989,0,0,0,0,0,0,0,0,0,0
10218,2,1,1989,0,0,0,0,0,0,0,0,10,0
10219,1,1,1989,12,14,19,14,21,20,11,19,23,25
10220,1,1,1989,6,6,6,6,6,6,6,6,6,6
10221,1,1,1989,9,9,9,9,9,9,9,9,9,9
