ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
421578,1989,0,8,0,0,0,0,0,0,0,0
421579,1989,2,2,2,2,2,2,2,2,2,2
421580,1989,0,0,0,0,0,0,0,0,0,0
421581,1989,0,0,0,0,0,0,0,0,0,0
421582,1989,38,0,0,0,6,0,0,0,0,0
421583,1989,26,26,26,26,26,26,26,26,26,26
421584,1989,23,23,23,23,23,23,23,23,23,23
421585,1989,0,0,0,0,0,0,0,0,0,0
421586,1989,22,22,22,22,22,22,22,22,22,22
421587,1989,0,0,0,0,0,0,0,0,0,0
421588,1989,0,0,0,0,0,0,0,0,0,0
421589,1989,14,14,14,14,14,14,14,14,14,14
421590,1989,8,8,8,8,8,8,8,8,8,13
421591,1989,3,3,3,3,3,3,3,8,19,3
421592,1989,0,0,0,0,0,0,0,0,0,0
421593,1989,22,0,24,15,0,0,0,17,17,0
421594,1989,0,0,0,0,0,0,0,0,0,0
421595,1989,0,0,0,0,0,0,0,0,0,0
421596,1989,0,0,0,0,0,0,0,0,0,0
421597,1989,0,0,0,0,0,0,0,0,0,4
421598,1989,22,22,22,22,22,22,22,22,22,22
421599,1989,0,0,0,0,0,0,0,0,0,0
421600,1989,0,0,0,0,0,0,0,0,0,0
421601,1989,0,0,0,0,0,0,0,0,0,0
421602,1989,5,9,14,26,12,22,18,16,10,6
421603,1989,8,8,8,8,8,8,8,8,8,8
421604,1989,0,0,0,0,0,0,0,0,0,0
421605,1989,25,25,25,25,25,25,25,25,25,25
421606,1989,0,0,0,0,0,11,0,10,0,0
421607,1989,0,0,0,0,0,0,0,0,0,0
421608,1989,20,20,20,20,20,20,20,20,20,20
421609,1989,26,26,26,26,26,26,26,26,26,26
421610,1989,42,42,42,42,42,42,42,42,42,42
421611,1989,0,0,0,0,0,0,0,0,0,0
421612,1989,0,0,0,0,0,0,0,0,0,0
421613,1989,0,0,0,0,0,0,0,0,0,0
421614,1989,9,9,9,9,9,9,9,9,9,9
421615,1989,24,24,24,24,24,24,24,24,24,24
421616,1989,0,0,0,0,0,0,0,0,0,0
421617,1989,29,29,29,29,29,29,29,29,29,29
421618,1989,10,10,10,10,10,10,10,10,10,10
421619,1989,0,0,0,0,0,10,0,0,0,0
421620,1989,25,25,25,25,25,25,25,25,25,25
421621,1989,0,0,0,0,0,0,0,0,0,0
421622,1989,0,0,0,0,0,0,0,0,0,0
421623,1989,0,0,0,0,0,0,0,0,0,0
421624,1989,30,30,30,30,30,30,30,30,30,30
421625,1989,0,0,0,0,0,0,0,0,0,0
421626,1989,0,0,0,0,0,0,0,0,0,0
421627,1989,14,14,14,14,14,14,14,14,14,14
421628,1989,22,22,22,22,22,22,22,22,22,22
421629,1989,16,16,16,16,16,16,16,16,16,16
421630,1989,0,0,0,0,0,0,0,0,0,0
421631,1989,0,13,12,13,0,0,0,0,0,0
421632,1989,15,15,15,15,15,15,15,15,15,15
421633,1989,0,0,0,0,0,0,0,0,0,0
421634,1989,4,4,4,4,4,4,4,4,4,4
421635,1989,0,0,0,0,0,0,0,0,0,0
421636,1989,13,19,0,0,19,15,11,23,32,0
421637,1989,3,17,18,3,3,13,3,12,3,16
421638,1989,18,15,43,9,15,6,27,16,28,13
421639,1989,21,15,10,0,9,6,17,0,0,0
421640,1989,0,0,0,0,0,0,0,0,0,0
421641,1989,19,19,19,19,19,19,19,19,19,19
421642,1989,0,0,0,0,0,0,0,15,0,0
421643,1989,0,17,0,0,0,0,0,0,0,0
421644,1989,22,16,16,16,16,16,21,16,16,16
421645,1989,0,0,0,0,0,0,0,0,0,0
421646,1989,4,0,0,0,24,0,0,0,0,0
421647,1989,0,12,14,17,0,28,0,0,26,11
421648,1989,14,13,31,17,11,24,5,15,0,18
421649,1989,0,0,0,0,21,0,0,0,16,0
421650,1989,0,0,0,0,0,0,0,0,0,0
421651,1989,28,28,28,28,28,28,28,28,28,28
421652,1989,0,0,0,0,0,0,0,0,0,0
421653,1989,4,43,0,0,0,0,0,0,27,0
421654,1989,9,9,9,9,9,9,9,9,9,9
421655,1989,0,0,0,0,0,0,0,8,0,0
421656,1989,17,16,17,11,15,11,20,11,13,11
421657,1989,10,10,10,10,10,10,10,13,18,10
421658,1989,0,0,0,0,0,0,0,0,0,0
421659,1989,0,0,0,0,0,0,0,0,0,0
421660,1989,0,0,22,0,0,0,16,9,0,0
421661,1989,0,0,0,0,0,0,0,0,0,0
421662,1989,15,7,2,2,2,2,2,23,2,14
421663,1989,15,0,0,18,5,15,17,0,12,0
421664,1989,0,0,0,0,0,0,0,0,0,0
421665,1989,0,0,0,0,0,0,0,0,0,0
421666,1989,12,12,12,12,12,12,12,12,12,12
421667,1989,0,0,0,0,23,0,0,0,0,0
421668,1989,0,0,0,0,0,0,0,0,0,0
421669,1989,8,8,8,8,8,8,8,8,8,8
421670,1989,0,0,0,15,0,0,0,0,0,0
421671,1989,11,0,0,0,0,0,0,0,0,0
421672,1989,10,8,8,8,8,8,8,8,8,8
421673,1989,0,0,0,0,0,0,0,0,0,0
421674,1989,0,0,0,0,0,0,0,0,0,0
421675,1989,18,18,18,18,18,18,18,18,18,18
421676,1989,25,25,25,25,25,25,25,25,25,25
421677,1989,19,27,20,7,0,31,14,20,21,15
421678,1989,0,0,0,0,0,0,0,0,0,0
421679,1989,0,0,0,0,0,0,0,0,0,0
421680,1989,0,0,0,0,28,0,0,0,24,8
421681,1989,11,11,11,11,11,11,11,11,11,11
421682,1989,17,17,17,17,17,17,17,17,17,17
421683,1989,0,0,0,0,0,0,0,0,0,0
421684,1989,19,19,19,19,19,19,19,19,19,19
421685,1989,18,18,18,18,18,18,18,18,24,18
421686,1989,0,0,0,0,12,0,0,0,0,0
421687,1989,0,17,14,26,0,28,16,32,0,5
421688,1989,13,8,16,7,20,11,25,39,15,12
421689,1989,0,0,0,0,0,0,0,0,0,0
421690,1989,0,0,0,0,0,0,0,0,0,0
421691,1989,20,10,0,23,0,18,8,14,26,17
421692,1989,26,26,26,26,26,26,26,26,26,26
421693,1989,0,0,0,0,0,0,0,0,0,0
421694,1989,7,7,7,7,7,7,7,7,7,7
421695,1989,15,15,15,15,15,15,15,15,15,15
421697,1989,0,10,0,0,0,0,0,0,16,0
421698,1989,0,0,0,0,0,0,0,0,0,0
421699,1989,26,26,26,26,26,26,26,26,26,26
421700,1989,25,25,25,25,25,25,27,25,25,25
421701,1989,0,0,0,0,14,0,0,0,0,0
421702,1989,15,15,15,15,15,15,15,15,15,15
421703,1989,21,21,21,21,21,21,21,21,21,21
421704,1989,0,0,0,0,0,0,0,0,0,0
421705,1989,0,0,0,0,0,0,0,0,0,0
421706,1989,0,0,0,0,0,0,0,19,0,0
421707,1989,0,9,0,14,7,0,13,18,15,10
421708,1989,6,6,6,6,6,6,6,6,6,6
421709,1989,0,0,0,0,0,14,0,0,0,0
421710,1989,26,17,31,17,13,27,15,25,26,31
421711,1989,0,0,0,0,0,0,0,0,0,0
421712,1989,1,1,1,1,1,1,1,1,1,1
421713,1989,0,0,0,0,0,0,0,0,0,0
421714,1989,0,0,0,0,0,0,0,0,0,0
421715,1989,0,0,0,0,0,0,0,0,0,0
421716,1989,0,43,0,0,0,0,31,0,40,23
421717,1989,0,0,0,0,0,0,0,12,0,0
421718,1989,0,0,0,0,0,0,0,0,0,0
421719,1989,30,30,30,30,30,30,30,30,30,30
421720,1989,14,23,14,23,14,19,14,14,26,14
421721,1989,0,0,0,0,0,16,0,0,0,0
421722,1989,10,0,24,11,25,9,20,16,9,9
421723,1989,4,4,4,4,4,4,4,4,4,4
421724,1989,16,16,16,16,16,16,16,16,16,16
421725,1989,13,15,32,5,14,15,19,33,20,30
421726,1989,22,22,22,22,22,22,22,22,22,22
421727,1989,0,0,0,0,0,0,0,0,0,0
421728,1989,25,25,25,25,25,25,25,25,25,25
421729,1989,0,0,0,0,0,0,0,0,0,0
421731,1989,7,18,11,0,20,6,17,0,0,0
421732,1989,16,17,26,20,6,23,0,17,25,18
421733,1989,0,0,0,0,0,0,16,0,21,9
421734,1989,14,11,8,16,16,11,0,14,14,22
440001,1989,6,11,6,6,6,6,6,6,6,6
440002,1989,20,16,11,14,18,13,12,5,2,8
440003,1989,0,0,0,0,0,0,0,0,0,0
440004,1989,0,0,0,0,0,0,0,0,0,0
440005,1989,11,0,0,0,0,0,0,0,0,0
440006,1989,0,0,0,0,0,0,0,0,6,0
440007,1989,32,32,32,32,32,32,32,32,32,32
440008,1989,15,15,15,15,15,15,15,15,15,15
440009,1989,10,10,10,10,10,10,10,10,10,10
440010,1989,0,0,0,0,0,0,0,0,0,0
440011,1989,0,0,0,22,0,0,0,0,19,0
440012,1989,0,0,0,0,0,0,0,0,0,0
440013,1989,23,23,23,23,23,23,23,23,23,23
440014,1989,0,0,0,0,0,0,0,0,0,0
440015,1989,0,0,0,0,0,10,0,0,0,0
440017,1989,7,13,14,19,7,14,14,21,14,19
440018,1989,0,0,0,0,0,0,0,0,0,0
440019,1989,0,0,0,0,0,0,0,0,0,0
440020,1989,23,23,23,23,23,23,23,23,23,23
440021,1989,15,15,15,15,15,15,15,15,15,15
440022,1989,30,30,30,30,30,30,30,30,30,30
440023,1989,19,0,0,0,0,0,0,0,0,0
440024,1989,14,14,14,14,14,14,14,14,14,14
440025,1989,27,27,27,27,27,27,27,27,27,27
440026,1989,0,0,0,0,0,0,0,0,0,0
440027,1989,0,0,0,0,0,0,0,0,0,0
440028,1989,36,36,36,36,36,36,36,36,36,36
440029,1989,0,0,0,0,0,0,0,0,0,0
440030,1989,3,3,3,3,3,3,3,3,3,3
440031,1989,0,0,0,0,0,0,0,0,0,0
440032,1989,39,39,39,39,39,39,39,39,39,39
440033,1989,23,23,23,23,23,23,23,23,23,23
440034,1989,0,0,0,0,0,0,0,0,0,0
440035,1989,0,0,0,0,0,0,0,0,0,0
440036,1989,24,24,24,24,24,24,24,24,24,24
440037,1989,21,3,8,28,17,4,22,17,6,18
440038,1989,22,22,22,22,22,22,22,22,22,22
440039,1989,0,0,0,0,0,0,0,0,0,0
440040,1989,0,0,0,0,0,0,0,0,0,0
440041,1989,13,13,13,13,13,13,13,13,13,13
440042,1989,0,0,0,0,0,0,0,0,0,0
440043,1989,0,0,0,0,0,0,0,0,0,0
440044,1989,8,8,8,8,8,8,17,8,8,8
440045,1989,19,19,19,19,19,19,19,19,19,19
440046,1989,0,0,0,0,0,0,0,0,0,0
440047,1989,0,0,0,0,0,0,0,0,27,0
440048,1989,0,0,0,0,0,0,0,0,10,0
440049,1989,0,0,0,36,0,0,0,0,0,0
440050,1989,0,0,0,0,0,0,0,0,0,0
440051,1989,0,0,0,0,0,0,0,0,0,0
