ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
50192,1987,1,1,1,1,1,1,1,1,1,1
50193,1987,0,0,17,10,17,20,18,11,8,14
50194,1987,5,5,5,5,5,5,5,5,5,5
50195,1987,15,15,15,15,15,15,15,15,15,15
50196,1987,0,0,0,0,0,0,0,0,0,0
50197,1987,9,9,9,9,9,9,9,9,9,9
50198,1987,0,0,10,13,33,22,17,0,0,0
50199,1987,2,2,2,2,2,2,2,2,2,2
50200,1987,20,2,9,14,8,22,25,32,18,11
50201,1987,9,9,9,9,9,9,9,9,9,9
50202,1987,7,16,0,11,18,0,0,8,16,6
50203,1987,0,0,0,11,0,0,0,0,0,0
50204,1987,10,13,22,16,0,24,23,18,20,6
50205,1987,27,27,27,28,27,27,27,27,27,27
50206,1987,6,9,0,0,0,28,13,0,21,0
50207,1987,21,30,10,0,10,30,17,24,19,31
50208,1987,14,14,14,14,14,14,14,14,14,14
50209,1987,3,5,14,4,3,22,0,10,11,0
50210,1987,0,0,0,0,0,0,0,0,0,0
50211,1987,19,21,27,18,30,12,12,37,26,22
50212,1987,0,0,12,0,9,0,0,2,0,0
50213,1987,21,21,21,21,21,21,21,21,21,21
50214,1987,5,5,5,5,5,5,5,5,5,5
50215,1987,20,20,20,20,20,20,20,20,20,20
50216,1987,0,12,23,0,9,0,22,4,0,0
50217,1987,14,21,22,49,19,19,31,18,19,27
50218,1987,0,7,22,23,0,9,32,20,13,19
50219,1987,15,15,15,15,15,15,15,15,15,15
50220,1987,24,24,24,24,24,24,24,24,24,24
50221,1987,5,5,5,5,5,5,6,5,16,5
50222,1987,14,14,14,14,14,14,14,14,14,14
50223,1987,0,0,0,0,0,0,0,0,0,0
50224,1987,0,0,28,17,0,4,0,0,0,0
50225,1987,0,0,0,0,0,0,0,0,0,0
50226,1987,13,0,0,0,0,0,0,0,0,0
50227,1987,0,0,0,0,0,0,0,0,0,0
50228,1987,25,21,38,11,13,26,39,15,13,36
50229,1987,24,24,24,24,24,24,24,24,24,24
50230,1987,13,5,0,25,11,22,14,12,14,12
50231,1987,0,14,15,25,25,11,26,18,18,0
50232,1987,0,0,0,0,0,18,0,0,0,0
50233,1987,0,0,0,0,0,0,0,0,0,0
50234,1987,20,20,20,20,20,20,20,20,20,20
50235,1987,0,0,0,0,0,0,0,0,0,0
50236,1987,0,0,3,18,14,11,30,15,14,0
50237,1987,0,0,0,0,0,0,0,0,0,0
50238,1987,16,16,16,16,16,16,16,16,16,16
50239,1987,0,0,0,0,0,0,0,0,0,0
50240,1987,13,21,0,19,4,31,5,30,17,48
50241,1987,0,0,14,0,0,0,0,0,0,0
50242,1987,7,7,7,7,7,7,7,22,7,7
50243,1987,0,11,0,0,0,0,0,0,0,0
50244,1987,0,0,0,0,0,0,0,0,0,0
50245,1987,28,28,28,28,28,28,28,28,28,28
