ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
121081,1984,17,21,10,10,19,19,14,16,17,17
121082,1984,0,0,0,0,0,0,0,0,0,0
121083,1984,0,0,0,0,0,0,0,0,0,0
121084,1984,0,0,0,0,0,0,0,0,0,0
121086,1984,0,0,0,0,0,0,0,0,12,0
121087,1984,0,22,0,0,0,0,0,0,0,0
121088,1984,23,23,23,23,23,23,23,23,23,23
121089,1984,31,0,0,0,0,10,16,22,0,27
121090,1984,0,0,0,0,0,0,0,0,0,0
121091,1984,0,0,0,14,0,0,0,15,0,0
121092,1984,13,0,14,11,4,24,12,8,0,0
121093,1984,12,12,12,12,12,12,12,12,12,12
121094,1984,0,0,0,0,0,0,0,0,0,0
121095,1984,0,0,0,0,0,0,0,0,0,0
121096,1984,17,17,17,17,17,17,17,17,17,17
121097,1984,5,5,5,5,5,5,5,5,5,5
121098,1984,0,0,0,0,0,0,0,0,0,0
121099,1984,0,0,0,0,0,0,0,0,0,13
121100,1984,13,20,7,20,0,0,5,0,7,2
121101,1984,23,29,23,23,23,23,23,23,23,23
121102,1984,0,0,7,0,0,0,23,18,0,24
121103,1984,0,0,0,0,0,0,0,0,0,0
121104,1984,0,0,0,9,0,0,0,0,0,0
121105,1984,10,10,10,10,10,10,10,10,10,10
121106,1984,0,0,0,0,10,0,0,0,0,0
121107,1984,0,0,11,0,0,0,23,13,0,0
