ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10259,2,1,1988,0,0,0,0,0,0,0,0,0,0
10260,1,1,1988,0,0,0,0,0,0,0,0,0,0
10261,1,1,1988,0,0,0,0,0,0,35,0,0,0
10261,2,1,1988,0,0,0,0,0,0,0,0,0,0
10262,1,1,1988,26,26,26,26,26,26,26,26,26,26
10263,1,1,1988,0,0,0,0,0,0,0,36,0,0
10264,1,1,1988,6,6,6,6,6,6,6,6,6,6
10264,2,1,1988,0,7,0,0,0,4,0,0,0,0
10265,1,1,1988,25,25,25,25,25,25,25,25,25,25
10266,1,1,1988,23,23,23,23,23,23,23,23,23,23
10267,1,1,1988,2,0,15,10,26,5,6,10,13,17
10267,2,1,1988,0,0,0,0,0,0,0,0,0,0
10268,1,1,1988,17,17,17,17,17,17,17,17,17,17
10269,1,1,1988,13,15,6,7,8,17,15,9,0,24
10270,1,1,1988,22,16,0,0,13,32,7,19,5,19
10271,1,1,1988,14,0,30,0,0,23,0,0,14,0
10271,2,1,1988,0,0,0,0,0,0,0,0,0,0
10271,3,1,1988,0,0,0,0,0,0,0,11,0,0
10272,0,1,1988,0,0,0,0,0,0,0,0,0,0
10272,1,1,1988,0,0,0,0,0,0,0,0,0,0
10273,1,1,1988,0,0,0,0,0,0,0,0,0,0
10273,2,1,1988,24,24,24,24,24,24,24,24,24,24
10274,0,1,1988,0,0,0,0,0,0,0,0,0,0
10274,1,1,1988,0,0,0,0,0,0,0,0,0,0
10275,1,1,1988,10,10,10,10,10,10,10,10,10,10
10275,2,1,1988,0,0,0,0,0,0,0,0,0,0
10276,1,1,1988,0,0,0,0,0,0,0,0,0,0
10277,1,1,1988,28,29,5,15,13,17,11,12,10,12
10277,2,1,1988,0,0,0,0,0,0,0,0,0,0
10277,3,1,1988,0,0,0,25,0,0,9,0,0,0
10278,1,1,1988,19,19,19,19,19,19,19,19,19,19
10279,0,1,1988,0,0,0,0,0,0,0,21,0,0
10279,1,1,1988,0,0,0,0,0,0,0,0,0,0
10280,0,1,1988,19,19,19,19,19,19,19,19,19,19
10280,1,1,1988,0,10,4,4,9,0,25,20,2,7
10281,0,1,1988,0,0,0,0,0,0,0,0,0,0
10281,1,1,1988,2,2,2,2,2,2,2,2,2,2
10281,2,1,1988,0,0,0,0,0,0,0,0,0,0
10282,1,1,1988,0,0,0,0,0,0,0,0,0,0
10282,2,1,1988,0,0,0,0,0,0,0,0,0,0
